phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
системы автоматизации производства,2031,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ооо стройком,2579,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
электротехника и автоматика,2479,similar,автоматизация производства,automation-processes,informational,Информационный,informational,blog,P4-blog
b2b продажи что это,1992,similar,ии агент для бизнеса заказать,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ерп что это,2528,similar,разработка erp системы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
документы ркф,1976,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
риски бизнеса проверь себя и контрагента,2426,similar,ит аудит компании,consulting,informational,Информационный,informational,blog,P4-blog
маркетолог это простыми словами,2515,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
бц это,2512,similar,gpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
перевод документа из пдф в ворд,1933,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
дюма песни не учите меня жить,2469,similar,дообучение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
московский асц это,2455,similar,it аутсорсинг москва,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
основатель яндекса,2432,similar,yandexgpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
московский колледж информационных технологий,2332,similar,it аутсорсинг москва,automation-processes,informational,Информационный,informational,blog,P4-blog
колледж информационных технологий ит москва,1298,similar,it консалтинг,consulting,implementation_high,Внедрение / заказ (высокий),commercial_high,ai-discovery-roadmap,P1-landing
разработать синоним,1290,similar,разработка ии решений,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
ответ да или нет онлайн,2360,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чху ен у,2335,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
login consultant ru,2327,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
создать презентацию с помощью нейросети,1765,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
portal 1c ru,2313,similar,интеграция 1с с сайтом,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
чем отличается семинар от лекции,2212,similar,разработка api интеграции,integration,informational,Информационный,informational,blog,P4-blog
кто такой айтишник,2310,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
служба поддержки телеграмм,1722,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
фонетический разбор слова речь,2257,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
сосет и говорит по телефону,2255,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
средства производства и автоматизации,1690,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
привет как дела что делаешь,2246,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
облачное небо,2243,similar,миграция в облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чем отличается лекция от семинара,2212,similar,разработка api интеграции,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
ооо bneio pravo что это,2191,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация и управление производством,1631,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
дроны убийцы мемы,2185,similar,дообучение llm,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
диктофон с искусственным интеллектом,2173,similar,голосовой робот для звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business gazeta,2165,similar,gigachat для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
оцифровка документов,1596,similar,ocr документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
сервис по пути,2146,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агентство say agency,2134,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
правовед ру,2124,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business studio,2119,similar,gigachat для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нативная реклама это,2113,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
business suite,2108,similar,gigachat для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
аи помощник,2087,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
компьютер должен поддерживать доверенный платформенный модуль 2.0,1533,similar,разработка api интеграции,integration,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
1 автоматизация производства,1520,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ии для образования,1509,popular,ии для образования,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
производство и обработка на заказ,947,similar,ии агент для бизнеса заказать,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
цифровизация бизнеса,1927,popular,цифровизация бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
что можно построить в построй корабль,2016,similar,ии для строительства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
общеотраслевые должности служащих,2010,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
2 автоматизация производств,1444,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
радиус автоматика,1885,similar,автоматизация склада,automation-processes,informational,Информационный,informational,blog,P4-blog
интегратор это,1970,similar,разработка api интеграции,integration,negative,Негатив / шум,irrelevant,skip,P0-skip
max business,1965,similar,gigachat для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
мое дело бюро,1963,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто должен оформлять электронную транспортную накладную,1949,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
кто должен оформлять электронные транспортные накладные,1949,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
embedded разработчик,817,similar,разработка ии решений,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
внедрение ии в отрасли,805,similar,внедрение нейросетей в бизнес,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
поддержка тт,1354,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
таргетированная реклама это,1901,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чем отличается экспедитор от перевозчика,1901,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
чем отличается перевозчик от экспедитора,1901,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
3 автоматизация производства,1328,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
обнадеживать это,1884,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как научиться ездить на машине,1881,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
эрудит помощник,1873,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
помощник эрудита,1872,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
307 фз об аудиторской деятельности,1857,similar,ит аудит компании,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация производства специальность,1287,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
услуга цифровая трансформация,732,popular,цифровая трансформация услуги,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
автоматизация производства труд,1267,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
хотите верьте хотите нет мем,1819,similar,devops услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
дело дизайн,1817,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
логистический центр что это,1815,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
https login consultant ru,1807,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
консалтинговая компания это,1777,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое кондоминиум,1770,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
liveexpert ru онлайн консультации,857,similar,ии консультант для сайта,automation-processes,consulting_high,Консалтинг / аудит (высокий),commercial_high,business-process-automation,P2-landing/ads
wardogs кто разработчик,652,similar,разработка ai агентов,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
простая электронная подпись это,1746,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
что такое логист,1741,similar,ии для логистики,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация промышленного производства,1172,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
кондоминиум что это,1719,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
разговоры еле слышны,1699,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
для чего прилетал директор цру,1694,similar,ии ассистент для руководителя,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознаватель текста,1693,similar,распознавание документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
как продать квартиру без риэлтора,1676,similar,ai агент для продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
юрисконсульт это,1672,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
проект я помню,1647,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
создание систем искусственного интеллекта взаимодействие с разработчиками,544,similar,разработка чат бота для бизнеса,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
автоматизация процессов производства специальность,1075,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
автошкола дело,1634,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
вопрос автоматизации производства,1064,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
udl client,1616,similar,чат бот для поддержки клиентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
cloudfront,1607,similar,миграция в облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
yandexbundled,1603,similar,yandexgpt для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
слышу голос из прекрасного далека текст,1585,similar,речевая аналитика звонков,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
пко право онлайн что это,1584,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айти су,1579,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация производства петербург,1015,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
предсеансовое обслуживание в кинотеатре что это,1573,similar,цифровая трансформация услуги,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
как сделать комментарии в тг канале,1473,similar,разработка telegram mini app,automation-processes,informational,Информационный,informational,blog,P4-blog
ht pthj,1570,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
1с ерп что это,1070,similar,разработка erp системы,automation-processes,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
автоматизация производств санкт петербург,1010,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
специальность автоматизация технологических процессов и производств,1004,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
консалтинговые услуги это,1556,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
маркетинговое агенство,1548,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
frontend разработчик это,440,similar,разработка ai агентов,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
расскажи снегурочка где была нейросеть,989,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
автоматизация производства сайт,977,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
v8 1c ru,1536,similar,интеграция 1с с сайтом,1c,negative,Негатив / шум,irrelevant,skip,P0-skip
механизация и автоматизация производства,971,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
современная автоматизация производства,971,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
эй бро нейросеть,980,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ии для производства,963,popular,ии для производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
колледж автоматизации производства санкт петербург,956,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
конструирование и технология электронных средств,1503,similar,разработка erp системы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ии для строительства,934,popular,ии для строительства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
озвучить текст голосом ии,1386,similar,голосовой робот для звонков,automation-processes,informational,Информационный,informational,blog,P4-blog
со скольки лет можно учиться в автошколе,1485,similar,машинное обучение для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация производств профессии,920,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
система сбора и синхронизации ресурсов firpo ru,429,similar,разработка api интеграции,integration,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
шифу учит,1477,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация процессов управления производством,912,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
сайт колледжа автоматизации производства,908,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
разработка ии решений,357,popular,разработка ии решений,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
gigabyte aero x16 1vh,1467,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
ситуационный центр электронного правительства,1464,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айти мониторинг,1461,similar,it консалтинг,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
агентство как пишется,1460,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агентский договор что это,1455,similar,ai агент для продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
озвучить песню нейросеть,904,similar,голосовой робот для звонков,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
04 автоматизация технологических процессов и производств,888,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
кто создал вселенную,1444,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
официальный сайт колледжа автоматизации производства,882,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
разработка ai агентов,316,popular,разработка ai агентов,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
agent17,1425,similar,ии агент для бизнеса заказать,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознавание первичных документов,860,popular,распознавание документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
сайты для продажи вещей,869,similar,ии для интернет магазина,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
exbo поддержка,867,similar,ии для техподдержки,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
интеграция 1с с сайтом,354,popular,интеграция 1с с сайтом,1c,integration_high,Интеграция (высокий),commercial_high,business-process-automation,P1-landing
1c gl,910,similar,интеграция 1с с сайтом,1c,technology_specific,Технология / стек,commercial_medium,business-process-automation,P2-landing/ads
юриспруденция это простыми словами,1392,similar,ии для юристов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
этапы продаж менеджера по продажам,841,similar,ии агент для бизнеса заказать,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
скан пдф в ворд,1380,similar,ocr документов,automation-documents,negative,Негатив / шум,irrelevant,skip,P0-skip
но оне интернет магазин,1379,similar,ии консультант для сайта,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
нейросфера нейросеть бесплатно,1279,similar,внедрение нейросетей в бизнес,automation-processes,informational,Информационный,informational,blog,P4-blog
разговор с ботом,1272,similar,голосовой робот для звонков,automation-processes,informational,Информационный,informational,blog,P4-blog
оператор эдо для ип,1372,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
озвучка голосом робота,1266,similar,голосовой бот для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
автоматизация производства оборудование,806,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
it консалтинг,454,popular,it консалтинг,consulting,consulting_high,Консалтинг / аудит (высокий),commercial_high,ai-discovery-roadmap,P2-landing/ads
автоматизация процессов производства профессии,792,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
saby документооборот,800,similar,распознавание документов,automation-documents,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
деловой контакт ит что это,1249,similar,ии бот для бизнеса,automation-processes,informational,Информационный,informational,blog,P4-blog
автоматизация производства кем работать,783,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
цифровая фабрика,1342,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
информационные технологии автоматизации производства,782,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
колледж автоматизации производства спб официальный,779,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
автоматизация системы управления производством,778,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
услуги цифровой трансформации бизнеса,225,popular,цифровая трансформация услуги,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
ре сейл,1334,similar,ии для ритейла,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
айдентика ком нейросеть,780,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
профессия автоматизация технологических процессов и производств,757,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ано цифровая экономика,1311,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
производству современным технологиям автоматизации,746,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
асу тп что это,1303,similar,автоматизация производства,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
направление автоматизации производства,742,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
цифровая платформа мсп,1301,similar,цифровизация бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
прохожу верити со своей тупой нейросетью,750,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
яндекс диск регистрация,1300,similar,миграция в облако,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация процессов производства кем работать,733,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
цифровая трансформация государственных услуг,180,popular,цифровая трансформация услуги,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
автоматизация технологических средств и производств,730,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
ain t nobody business,1287,similar,ии бот для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
google business,1279,similar,gigachat для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровизация бизнеса компании,164,popular,цифровизация бизнеса,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
почему макс пишет пользователь заблокирован или удален,1272,similar,чат бот для поддержки клиентов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
erp система разработка,158,popular,разработка erp системы,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
автоматизация технологических процессов и производств кем работать,699,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
пилотный проект это,1259,similar,разработка erp системы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
распознавание документов цены,147,popular,распознавание документов,automation-documents,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
sap что это за программа,1253,similar,разработка erp системы,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровая трансформация сферы услуг,138,popular,цифровая трансформация услуги,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
колледж автоматизации производства спб официальный сайт,688,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
таргетинг это,1247,similar,ии для маркетинга,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
create the air war,696,similar,разработка ai агентов,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
автоматизация производства проект,685,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
1с распознавание документов цена,133,popular,распознавание документов,automation-documents,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
развитие автоматизации производства,677,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
компании автоматизация складов,110,popular,автоматизация склада,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
все нейросети в одном месте,668,similar,внедрение нейросетей в бизнес,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
би 2 иноагенты или нет,1209,similar,ai агент для продаж,automation-sales,negative,Негатив / шум,irrelevant,skip,P0-skip
отрасли автоматизации производства,648,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
hey gen,1206,similar,ии для hr,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
автоматизация автоматизированного производства,645,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
квартирка ру,1204,similar,ии для недвижимости,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
очно это как учиться,1203,similar,ии для образования,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
цифровизация бизнес процессов компании,93,popular,цифровизация бизнеса,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
распознавание документов стоимость,87,popular,распознавание документов,automation-documents,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
автоматизация технологических процессов и производств 15.03 04,632,popular,автоматизация производства,automation-processes,solution_aware,Решение / автоматизация,commercial_medium,business-process-automation,P2-landing/ads
распознавание первичных документов цена,81,popular,распознавание документов,automation-documents,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P1-landing
управление государственных услуг и цифровой трансформации,74,popular,цифровая трансформация услуги,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
кто придумал самолет,1179,similar,разработка ии решений,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
разработчик бпла телеграмм,77,similar,разработка чат бота для бизнеса,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
стоимость 1с распознавание документов,67,popular,распознавание документов,automation-documents,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
центр раскрытия корпоративной информации евротранс,73,similar,gpt для бизнеса,automation-processes,implementation_high,Внедрение / заказ (высокий),commercial_high,business-process-automation,P2-landing/ads
